imdbID,title,year,released,runtime,genre,director,writer,actors,plot,language,country,metascore,boxOffice,production
tt0008693,Transgression,1917,20 Aug 1917,50 min,Drama,Paul Scardon,"J. Stuart Blackton, Cyrus Townsend Brady, Edward J. Montagne","Earle Williams, Billie Billings, Webster Campbell","Hal Page, the weakling brother of Stephen Page, the town mayor, falls in love with Carline Shrefton, who throws over Burt Staley to entangle Hal in her self-serving schemes. Furious over her abrupt departure, Staley shows up at Ca...",None,United States,,,
tt0005694,The Man Who Beat Dan Dolan,1915,01 Jun 1915,,Drama,J.J. Mahony,Junie McCree (scenario),"Willie Richie, Betty Marshall, William Vaughn, Lew Ritchie",,English,USA,,,
tt0011978,Blind Hearts,1921,03 Oct 1921,60 min,Drama,Rowland V. Lee,"Emilie Johnson, Joseph F. Poland","Hobart Bosworth, Wade Boteler, Irene Blackwell","In 1898 friends John Thomas and Lars Larson travel to the Yukon with their wives to make their fortunes. While in Alaska Thomas' wife gives birth to a boy, and Larson's wife has a girl, Julia. However, Larson spots a birthmark on his daughter's shoulder that resembles one on Thomas' shoulder, and he begins to suspect that he may not actually be the girl's father. Over the next 20 years the two become millionaires, but Larson's wife dies. Julia and Thomas fall in love and wish to marry, but Larson is determined to oppose it. Complications ensue.","None, English",United States,,,
tt0023629,Two Seconds,1932,28 May 1932,67 min,"Crime, Drama, Thriller",Mervyn LeRoy,"Elliott Lester, Harvey F. Thew","Edward G. Robinson, Vivienne Osborne, Guy Kibbee",Allen claims he his being executed for the wrong murder. Flashbacks show him working with Clark as a riveter. When he makes a killing on the horses he meets Shirley and gets married. When Clark tells him Shirley is unfaithful they fight and Clark falls to his death. Later he finds that Clark was telling the truth.,English,United States,,,
tt0018405,The Silver Slave,1927,12 Nov 1927,70 min,Drama,Howard Bretherton,"Anthony Coldeway, Peter Milne, Howard Smith","Irene Rich, Audrey Ferris, Holmes Herbert","Bernice Randall, who has forsaken the love of her sweetheart, Tom Richards, to marry for wealth, turns down Richards' proposal after the death of her husband, and she is denounced by him as a slave to silver. Lavishing the greater part of her fortune on her daughter, Janet, Bernice determines to give her the advantages she herself lacked. Despite her mother's disapproval, Janet scorns the affection of Larry Martin, a life-long friend, after meeting Philip Caldwell, a wealthy sophisticate. Worried over Janet's growing attachment to Philip, Bernice determines to win Caldwell from her daughter, and in a confrontation involving the girl and Richards, now a millionaire, Janet is disillusioned in her mother and Caldwell. Learning of her mother's sacrifice, Janet forgives her and finds happiness with Larry.","None, English",United States,,,
tt0020327,El rey que rabió,1929,,101 min,,José Buchs,"Vital Aza (story), José Buchs, Antonio Paso, Miguel Ramos Carrión (story)","María Anaya, José Ballester, Pedro Barreto, José Montenegro",,,Spain,,,
tt0014725,Bluff,1924,12 May 1924,60 min,Drama,Sam Wood,"Willis Goldbeck, Josephine Quirk (story), Rita Weiman (story)","Agnes Ayres, Antonio Moreno, Fred J. Butler, Clarence Burton",,English,USA,,,
tt0023880,Chance at Heaven,1933,27 Oct 1933,71 min,"Drama, Romance",William A. Seiter,"Julien Josephson, Sarah Y. Mason, Viña Delmar","Ginger Rogers, Joel McCrea, Marian Nixon","Blackstone 'Blacky' Gorman, rising service station owner, is blessed with the devotion of supremely sweet and noble Marje Harris, but he meets coquettish and silly debutante Glory Franklyn and, between Glory's charm and his social ambition, is snared into an upscale marriage that proves to have its downside.",English,United States,,,
tt0021096,Lousa,1930,29 Sep 1930,,Documentary,,,,,,Portugal,,,
tt0018518,Two Girls Wanted,1927,11 Sep 1927,70 min,"Comedy, Drama",Alfred E. Green,"Malcolm Stuart Boylan, Randall Faye, Seton I. Miller","Janet Gaynor, Glenn Tryon, Ben Bard","Marianna Miller, dressing as a boy to seek employment in the city, becomes involved with a gang of ruffians; and when she hits Dexter Wright, a young businessman, with a tomato, he detects her disguise and helps her obtain a secretarial position with his competitor. Misunderstanding his interests in her girl friend, Edna, Marianna and her pal answer an advertisement for two girls wanted--a maid and a cook--and end up as servants in the country house of Dexter's uncle. Marianna learns of a plan to swindle Dexter's uncle, and in the process, she and Dexter fall in love. .",English,United States,,,
tt0022796,,,,,,,,,,,,,,
tt0011727,The Sporting Duchess,1920,29 Feb 1920,,Drama,George Terwilliger,"Henry Hamilton (play), Augustus Harris (play), Lucien Hubbard (scenario), Cecil Raleigh (play)","Alice Joyce, Percy Marmont, Gustav von Seyffertitz, Edith Campbell",,,USA,,,
tt0011108,Desire,1920,01 Jan 1920,,"Fantasy, Horror",George Edwardes-Hall,"George Edwardes-Hall, Honoré de Balzac","Dennis Neilson-Terry, Yvonne Arnaud, Christine Maitland","An ass's skin grants an author's wishes and makes him rich, but it is a dream.","None, English",United Kingdom,,,
tt0009161,Her Decision,1918,12 May 1918,50 min,Drama,Jack Conway,"Laura Gannet, Charles Jurlson","Gloria Swanson, J. Barney Sherry, Darrell Foss","Martin Rankin is in love with his stenographer, Phyllis Dunbar, but she is engaged to Bobbie Warner, a dancer. Phyllis' sister Inah learns that she is pregnant, and after her lover Billy abandons her, Inah attempts suicide. Phyllis asks Bobbie for enough money to send Inah away quietly and after he refuses, she appeals to Martin, offering to marry him in exchange for the money. Martin marries her but insists that they live together merely as friends until she learns to love him. Later Phyllis asks her husband for permission to visit Bobbie, but when she realizes that the young man spends much of his time drinking and philandering, she returns to the husband whom she has come to love. Ashamed of his behavior, Billy returns to Inah and marries her.","None, English",United States,,,
tt0008687,Tom Sawyer,1917,10 Dec 1917,59 min,"Adventure, Comedy, Drama",William Desmond Taylor,"Mark Twain, Julia Crawford Ivers","Jack Pickford, George Hackathorne, Alice Marvin","Tom, the rambunctious member of the Sawyer clan, takes it upon himself to teach the goody-goody boy of Hannibal, Missouri a lesson and, as Huckleberry Finn, his free-spirited best friend watches, pummels his foe to defeat. At school clever Tom makes mischief a regular practice, but as long as the punishment lands him next to his beloved Becky Thatcher, he remains carefree. After he is unfairly accused of his brother Sid's misdeed, Tom runs away with Huck and Joe Harper. Disguised as pirates, the trio builds a raft and sails down the Mississippi to a deserted island. Back at home, Tom's frantic Aunt Polly calls for a search, and cannons are fired into the river. When the search yields nothing, the boys are declared dead and a funeral is planned. At first tempted to reveal himself, Tom decides later to partake in his own memorial service, and as the townspeople mourn, he and his friends appear in the back of the church. Overcome with relief, Becky and Aunt Polly embrace Tom, forgetting to scold him for his mischief.","None, English",United States,,,
tt0005693,The Man Trail,1915,13 Sep 1915,,Drama,E.H. Calvert,Henry Oyen,"Richard Travers, June Keith, Ernest Maupain","Young and athletic John Peabody is sick of city life and visits his uncle's lumber camp and is put to work, although his uncle will not recognize him as a nephew. But after John wins a lumber-sawing contest and subdues a drunken brawl among the lumberjacks, his uncle, ""Wolf"" John, is pleased and announces him as his nephew and as a future partner. John falls in love with with Belle, and adopted daughter of his uncle. Another lumberjack, ""Bull"" Bart is also in love with her. ""Bull"" quits and goes to work for a rival company where he plans to sabotage John's work on the big King Pines job, which would forfeit ""Wolf"" John's rights to the timber. However, all of ""Bull's"" efforts are for nothing, and he challenges John to a gunfight duel in the street.","None, English",United States,,,
tt0011977,The Blazing Trail,1921,01 May 1921,50 min,Drama,Robert Thornby,"Izola Forrester, Lucien Hubbard, Mann Page","Frank Mayo, Frank Holland, Verne Winter","Young doctor Bradley Yates has been trying to come up with a serum to counteract blood poisoning, with no results. Exhausted, he takes a rest in the Blue Ridge Mountains and stays in a small mountain community. When a young schoolteacher comes to town a romance develops between her and Bradley, but the local gossips have spread rumors that he has seduced Talithy, a local girl, and will abandon her for the teacher. Complications ensue.","None, English",United States,,,
tt0023627,Two Kinds of Women,1932,11 Apr 1932,75 min,Drama,William C. de Mille,"Benjamin Glazer, Robert E. Sherwood","Miriam Hopkins, Phillips Holmes, Irving Pichel","The daughter of a senator from South Dakota visits Manhattan for the first time, eager to see the sights of the big city. While there, she finds herself caught up in an affair with a married man, whose wife soon commits suicide. Complications ensue.",English,United States,,,
tt0020326,Revolte im Erziehungshaus,1930,08 Jan 1930,,,Georg Asagaroff,"Peter Martin Lampel, Herbert Rosenfeld, W. Solski","Carl Balhaus, Vera Baranovskaya, Toni van Eyck",,None,Germany,,,
tt0014724,Blue Water,1924,01 May 1924,,Drama,David Hartford,"Faith Green, Frederick William Wallace","Pierre Gendron, Jane Thomas, Norma Shearer",A fisherman in the Bay of Fundy loses his sweetheart while he is at sea.,"None, English",Canada,,,
tt0023879,Cercasi modella,1933,,80 min,,E.W. Emo,Oreste Biancoli,"Elsa Merlini, Nino Besozzi, Gianfranco Giachetti",,Italian,Italy,,,
tt0021095,Lotus Lady,1930,31 Oct 1930,70 min,"Drama, Romance",Phil Rosen,Harry Sinclair Drago,"Fern Andra, Ralph Emerson, Betty Francisco",,English,United States,,,
tt0018517,Two Flaming Youths,1927,17 Dec 1927,55 min,Comedy,John Waters,"John W. Conway, Donald Davis, Percy Heath","W.C. Fields, Chester Conklin, Mary Brian",Sheriff Ben Holden is in love with hotel owner Madge Malarkey when down-and-out carnival man Gabby Gilfoil shows up hoping to take her for some money. Gilfoil is mistaken for the wanted man Slippery Sawtelle. Neither suitor gets Malarkey but manage to take her husband (wealthy Simeon Trott) for a bundle.,None,United States,,,
tt0022795,"Csókolj meg, édes!",1932,05 Mar 1932,102 min,"Comedy, Drama",Béla Gaál,"Tamás Emöd, Béla Gaál, Zsolt Harsányi","Marika Rökk, Imre Ráday, Antal Páger",,Hungarian,Hungary,,,
tt0011107,Desert Love,1920,20 Apr 1920,50 min,Western,Jacques Jaccard,"Jacques Jaccard, Tom Mix","Tom Mix, Francelia Billington, Eva Novak","Sheriff Buck Marston, Sr. and his wife are killed after he defies the bandit known as the Wolf. Years later, Marston's son Buck, reared by kindly rancher Jack Remington, steps into his father's shoes and becomes sheriff, vowing vengeance for the death of his family. Eventually only the Wolf and his son remain, and although Buck finally succeeds in capturing the Wolf, the Whelp comes to his father's rescue and frees him. Meanwhile, when Remington overhears his younger daughter Dolly confide in her sister Barbara, Buck's fiancée, that she has been having an affair with the Whelp, Remington misunderstands and, assuming that Barbara has been betrayed, insists that she marry the outlaw. Returning from his pursuit of the Wolf, Buck learns of Barbara's fate and speeds to the Wolf's den where the Whelp has taken his bride. Buck saves Barbara, kills the outlaws and thus succeeds in winning both revenge and his sweetheart.",None,United States,,,
tt0011726,A Splendid Hazard,1920,26 Sep 1920,60 min,Drama,Allan Dwan,Harold McGrath,"Henry B. Walthall, Rosemary Theby, Norman Kerry","Karl Breitman, obsessed with the notion that he is a descendant of Napoleon, is driven to restore the monarchy in France. To accomplish this, he courts Hedda Gobert, who, he has learned, possesses Napoleon's papers. Upon winning Hedda, Breitman steals the documents, which lead him to America and the home of Admiral Killigrew where, the papers allege, the emperor's hidden wealth resides. Breitman locates a treasure map in the Killigrew house, which sends him to Corsica. However, before he can reach the buried riches, he overhears some men mocking him and challenges them to a duel. Wounded, Breitman dies with Hedda, who has lovingly followed him, at his side, taking the secret of the treasure with him.",None,United States,,,
tt0009160,Her Boy,1918,28 Jan 1918,50 min,Drama,George Irving,"Albert S. Le Vino, W. Carey Wonderly","Effie Shannon, Niles Welch, Pauline Curley","When the United States enters World War I, Helen Morrison, a widow, worries that she will lose her only son David, who has just reached the age of twenty-one. Although David patriotically urges the employees at his factory to enlist, he reluctantly gives in to his mother's pleas to remain at home with her. When David is drafted, his mother, panic-stricken, alters the date on his birth certificate, even though the later birth date implies that he is illegitimate. Disgusted, David enlists under an assumed name, thus shaming Helen, who confesses her dishonesty to the townspeople. Her son, now in uniform, then forgives her.","None, English",United States,,,
tt0008686,Tom Jones,1917,01 Dec 1917,70 min,Comedy,Edwin J. Collins,"Henry Fielding, Eliot Stannard","Langhorn Burton, Sybil Arundale, Will Corrie",Adventures of a squire's disowned son who proves to be his bastard heir.,None,United Kingdom,,,
tt0001630,Der fremde Vogel,1911,11 Nov 1911,45 min,,Urban Gad,Urban Gad,"Asta Nielsen, Hans Mierendorff, Eugenie Werner","Vacationing in Germany, May falls for boatman Max. Her father disapproves and during a night of romance between the young couple Max drowns.","None, German",Germany,,,
tt0005692,The Man Behind the Door,1914,01 Jan 1915,,Comedy,Wally Van,"Marguerite Bertsch, Archibald Clavering Gunter","Wally Van, Nitra Frazer, Cissy Fitzgerald",,"None, English",United States,,,
tt0011976,Black Sheep,1921,15 May 1921,50 min,Western,Paul Hurst,,"Neal Hart, Ted Brooks, George A. Williams","Rex Carson, son of cattleman Jim Carson and in love with Molly Moran, the daughter of a sheepman, defends the rights of the sheepherders to graze their herds on the free range, while his father and the other cattlemen oppose them to varying degrees, and this leads to the father disowning his son.",None,United States,,,
tt0010613,The Rebellious Bride,1919,23 Mar 1919,50 min,Comedy,Lynn Reynolds,"Charles Kenyon, Joseph Anthony Roach","Peggy Hyland, George Nichols, George Hernandez","Carefree Ozark Mountain girl Cynthy Quimby rebels against her grandfather's decision that she must marry overweight schoolteacher Tobe Plunkett. Cynthy persuades disreputable villager Jeff Peters to break up the wedding ceremony, ...",None,United States,,,
tt0023625,Two Against the World,1932,03 Sep 1932,70 min,"Drama, Mystery, Romance",Archie Mayo,"Marion Dix, Jerry Horwin, Sheridan Gibney","Constance Bennett, Neil Hamilton, Helen Vinson",A woman from high society must testify in a murder trial prosecuted by her suitor.,English,United States,,,
tt0020325,The Return of the Rat,1929,01 May 1929,84 min,"Crime, Romance",Graham Cutts,"Constance Collier, A. Neil Lyons, Angus MacPhail","Ivor Novello, Isabel Jeans, Mabel Poulton","The rich, amoral Zelie is married to Pierre Boucheron, ""The Rat"" - but her interest in another man is an open secret. Forced to defend his honour, the Rat takes refuge in his old domain of the Paris underworld. But even here he has a rival - and when murder is afoot, the sinister Morel's ambition threatens to cost the Rat dear....","None, English",United Kingdom,,,
tt0014723,The Blizzard,1924,03 Feb 1924,,Drama,Mauritz Miller,,"Pete Morrison, Ione Reed",,None,United States,,,
tt0023878,,,,,,,,,,,,,,
tt0021094,The Lottery Bride,1930,28 Nov 1930,80 min,"Musical, Romance",Paul L. Stein,"Herbert Stothart, Howard Emmett Rogers, Horace Jackson","Jeanette MacDonald, John Garrick, Joe E. Brown","In Oslo, Norway, Jenny (who loves stalwart Chris) enters a dance marathon to help her embezzler brother out of a jam; her actions cause misunderstanding and Chris flees to a far northern mining camp. In despair, Jenny signs up as a ""picture bride"" who by tragic irony is promised to Chris's brother Olaf...at that same mining camp. Then Chris's rival Alberto arrives on a polar dirigible expedition. Which brother will join his voyage, perhaps to doom? Very stylized.",English,United States,,,
tt0018515,Two Arabian Knights,1927,23 Sep 1927,92 min,"Adventure, Comedy, Romance",Lewis Milestone,"Wallace Smith, Cyril Gardner, Donald McGibney","William Boyd, Mary Astor, Louis Wolheim","Americans Sgt. Peter O'Gaffney and one of his soldiers, privileged ""pretty boy"" W. Daingerfield Phelps III (who is always drawing caricatures), are captured and interred at a POW camp in Northern Germany near the end of WWI. Their relationship has always been an antagonistic one based on what Phelps sees as O'Gaffney pushing him around. O'Gaffney's rank is despite being wanted by the police back home as a con man. It is because of these differences that their resulting friendship at camp is so unlikely, the friendship based on both having the nerve to attempt to escape. On a snow-covered day, they do manage to escape, in part by stealing white robes to camouflage themselves against the snow. In their adventures and misadventures on the outside in trying to get to safety, those adventures which include being mistaken for Arab prisoners, they find themselves as stowaways on board a cargo ship headed to Arabia. It is there that they meet a beautiful Arab woman named Mirza, who they save from drowning. They are both immediately smitten by her, which is why they are so disappointed to learn that she is betrothed in an arranged marriage to the ruthless Shevket Ben Ali. As the two try to reach the safety of an American consulate, they also decide to try and liberate Mirza, which may be more dangerous than fighting in the trenches in the battlefields of France.",English,United States,,"$509,718",
tt0022794,The Crusader,1932,05 Oct 1932,65 min,Drama,Frank R. Strayer,"Edward T. Lowe Jr., Wilson Collison","Evelyn Brent, H.B. Warner, Lew Cody",Gangsters scheme to get rid of a crusading District Attorney by blackmailing him through his daughter.,English,United States,,,
tt0011105,Democracy: The Vision Restored,1920,24 Aug 1920,70 min,Drama,William Nigh,"Lee Francis Lybarger, Nina Wilcox Putnam","J.H. Gilmour, William Nigh, Leslie Austin",A powerful financial magnate is plotted against by his greedy son.,"None, English",United States,,,
tt0009159,Her Body in Bond,1918,16 Jun 1918,60 min,Drama,Robert Z. Leonard,H. Sheridan Bickers,"Mae Murray, Kenneth Harlan, Alan Roscoe","The cabaret act of husband-and-wife dancing team Peggy and Joe Blondin is broken up when Joe becomes consumptive and is ordered West to recuperate. Peggy remains in New York to maintain the couple's income but gradually becomes desperate when letters sent her by her husband request more and more money. Joe's letters actually are being intercepted and rewritten by millionaire Harlan Quinn, who has designs on Peggy and wishes to portray Joe's situation as hopeless. After receiving a particularly alarming letter, Peggy consents to sell her honor to Harlan, but Joe arrives, fully recovered, just as the villain knocks on her door. The two men fight until Peggy's stepfather, a drug addict who has been acting as Harlan's dupe, shoots Quinn. The police arrive and shoot the old man, after which Peggy and Joe begin a new life together.","None, English",United States,,,
tt0008685,Told at Twilight,1917,25 Mar 1917,50 min,Drama,Henry King,Daniel F. Whitcomb,"Marie Osborne, Daniel Gilfether, Beatrice Van","A child, Mary Sunshine, filled with a desire to play with other youngsters, was forbidden to do so by her mother. But one day Piggy, a young negro child, appeared over the top of the fence and the temptation was too great. From that day on, Mary was given to running off with Piggy. As punishment for her first offense, she was sent to bed without supper, but neither her father nor mother could sleep when they realized that Mary was hungry, so they caught each other bringing food to the youngster. On a nearby estate lived Daniel Graham, rich, alone and grouchy. To him came the awakening when he heard the laugh of a child. Looking over the fence to locate the laugh, he found Mary and Piggy encouraging a chicken fight. From then on, day after day, the child visited him and brought cheer to the big mansion, which had never known the sound of childish laughter. On the off days, when not at the big house, Mary and Piggy ran wild for ways in which to make passersby lose their seriousness and smile. Not aware of the friendship of the child for the rich man, Mary's father, in order to make up for foolish ventures on the stock market, attempted to rob the big house. This same evening, Mary remained at the house after her birthday party given her by Daniel Graham. Being restless in her sleep from so many good things to eat, Mary started downstairs to frighten her friend, but instead she walked in the big room just as her father was in the midst of his attempted wrongdoing.",None,United States,,,
tt0005689,The Majesty of the Law,1915,26 Aug 1915,,Drama,Julia Crawford Ivers,Julia Crawford Ivers,"George Fawcett, Jane Wolfe, William Desmond","Judge Randolph Kent repudiates his son when the latter makes no satisfactory explanation of how the jewels which were stolen at Mrs. Monroe's ball came to be found in his coat pocket. That young Kent, heretofore the idol of the little city and the apple of his father's eye, was, after all, hopeless from the beginning seemed proven when he was later indicted for embezzlement. By an irony of fate Judge Kent himself is forced to hear the case, and on considering the incontrovertible evidence instantly gives his son the maximum sentence, ten years in state's prison. But before the sheriff starts with the condemned youth it is discovered that young Kent has all along been sacrificing himself to shield others. Innocent himself, he protected the thief of the jewels at the Monroes' because it was the brother of the girl he was about to marry, and shouldered the crime of the real embezzler because the latter had befriended Kent and got him his position at the bank when the Monroe scandal had made him an outcast.","None, English",United States,,,
tt0001628,The Four Poster Pest,1911,,,,,,Norma Talmadge,,None,United States,,,
tt0002500,The Black Chancellor,1912,07 Oct 1912,48 min,Drama,August Blom,Christian Schrøder,"Valdemar Psilander, Poul Reumert, Ebba Thomsen","Chancellor von Rallenstein forces Princess Irene to marry Prince Deima instead of her true love, Pawlow. The secret lovers seek to get married anyway, sending the Chancellor into a rage.","None, Danish",Denmark,,,
tt0011975,Black Roses,1921,22 May 1921,60 min,"Crime, Drama",Colin Campbell,Richard Schayer,"Sessue Hayakawa, Myrtle Stedman, Tsuru Aoki",,None,United States,,,
tt0010612,Intoxication,1919,24 Sep 1919,60 min,Drama,Ernst Lubitsch,"Hanns Kräly, August Strindberg","Asta Nielsen, Alfred Abel, Grete Diercks","Gaston finally succeeds as a dramatist and decides to leave his wife and child for another woman. When the child dies, the finger is pointed at him and he winds up as a destitute before all is revealed.",None,Germany,,,
tt0023624,Två hjärtan och en skuta,1932,04 Nov 1932,100 min,Comedy,Gösta Rodin,Torsten Lundqvist,"Björn Berglund, Eric Gustafson, John Melin, Doris Nelson",,Swedish,Sweden,,,
tt0020324,The Return of Sherlock Holmes,1929,26 Oct 1929,71 min,Mystery,Basil Dean,"Arthur Conan Doyle, Basil Dean, Garrett Fort","Clive Brook, H. Reeves-Smith, Betty Lawford","Sherlock Holmes dons several disguises to find information, after a retired captain, repenting of having worked with arch criminal Moriarty, is killed.",English,United States,,,
tt0014722,Blasted Hopes,1924,15 Mar 1924,,,Arthur Rosson,Daniel F. Whitcomb (story),"Edmund Cobb, Florence Gilbert",,English,USA,,,
tt0023877,Cento di questi giorni,1933,,62 min,Comedy,"Augusto Camerini, Mario Camerini","Mario Camerini, Guglielmo Alberti, Mario Soldati","Diomira Jacobini, Gianfranco Giachetti, Mino Doro",Count Agostino di Montecorvo's nephew and niece pretend they get married for his hundredth birthday since the old man has had this wish for a long time. But when the count wants them to beget a child as well they are forced to present him with a fake one. But then the child's mother wants it back...,Italian,Italy,,,
